participant,refs
>B -2ms,1317634 1317379 1317636 1317386 1317389 1317645 1317647 1317393 1317415 1317419 1317422 1317425 1317434 944193 944196 944584 943697 943455 943462
>M -2ms,63489 944193 1317635 944196 1317637 1317382 943462 944584 943465 943466 943469 943697 1317396 1317428 1317431 943455
2ms,63492 64005 63496 67592 63499 63501 63504 946194 68114 64021 63515 63518 946206 63523 63528 63530 63531 64042 64047 63538 946226 64052 63542 946230 63546 64058 64060 63551 64064 65089 63555 65094 63562 63565 64077 63569 64081 64082 63576 64088 63580 64092 945757 945761 945764 946277 64102 945775 945779 945782 945786 67198 67203 945795 945288 945290 943757 945294 945807 63632 945296 63635 943763 943767 67223 944282 63643 943771 943773 67227 945818 67232 67238 63656 943794 943799 67255 63674 943803 67258 67261 67264 943810 67267 67270 943815 67273 943818 944331 67280 943827 943831 67288 67800 943834 67804 943837 943841 67298 945891 67813 943846 945897 943850 945901 943854 64239 67824 943858 67827 67828 943861 67830 943864 945914 943873 67841 64259 943877 64775 64778 67865 67866 67869 66336 66338 66341 67880 67886 67890 64308 64314 64334 67409 67925 67414 67927 67929 67932 946170 67429 943464 67435 943468 943980 943472 943479 943483 943996 943998 67456 943493 943497 67466 943502 63479 943508 943511 944536 944027 943516 944029 943520 944032 68002 943524 68005 943529 943532 943533 68012 63485 944054 943543 943544 943545 943553 943554 63939 943559 63944 943562 63948 943567 943568 63953 943572 943579 946145 943586 943588 946152 946156 946164 63991 63482 63997
>CH >B -2ms,1317416 1317387 943470 64622 64623 943473 943474 944215 944216 944219 944220 943455
BT >B -2msBT >M -2ms,943489 943490 943491 943494 1317391 944292 944293 1317669 944296 1317417 944298 944299 944304 944306 64727 943455 64740 943476 943480
BN -2ms,1317406 1317439
C>R >B -2ms,943495 944329 943498 943499 943500 1317423 943504 943505 64785 944336 1317429 943455
>X >B -2ms,1317435 63559
DWDH -2ms,944345 943506 943509 944341 944342 943512 943513 944347 64796 943455
>CH BN -2ms,943521 944227 944229 944230 944232 943517 63573 943514 64635 64636 1317437 943518 943455
>T >CH/ >JC/,944352 943522 944355 943557 943525 943526 944357 944358 944204 944207 944209 944210 63640 943455
>X -2ms,68098 68101 946187 945676 67596 946188 67599 946191 68110 67602 946197 946198 946199 946202 946205 946207 68129 946210 68130 946214 1317442 64068 1317445 1318499 946275 946286 946287 946290 946297 946312 946313 946315 946317 946326 946327 946334 1317537 946851 946344 943787 946347 946349 946351 943800 946360 946363 946365 1318594 945881 943835 67803 945884 943839 67807 945888 945892 945894 943847 67817 943851 945905 945906 943862 1318646 945912 67833 943865 67872 67893 67894 1317687 1317689 67898 67902 945996 945997 945999 67919 67992 68022 68025 68026 68028 68031 68032 68036 68038 68039 68042 68048 68051 946138 946139 68060 946141 946142 946147 946149 946153 68078 946159 946160 68081 68095
>CH,63623 63628 1317649 1317650 944275 64660 944277 944279 1317656 944283 944285 943527 943534 943535 943536 943540 943546 943550 943555 1317447 64711 64712 1317715 1317463 63585 63590 943591 943593 63594 943595 63599 63607 63614
>XWT ->CH,63617 943541 63615
<M,943619 944387 943634 943635 946707 943637 1318679 946584 946585 944410 946592 946465 943650 946467 943652 946594 946596 946474 946478 946864 946481 946482 944441 1318715 946237 946239 1318719 1317697 1318729 1318731 1318733 1318745 64859 946781 946783 946785 64866 67939 1318755 946790 1318761 943603 943604
<RWH/ -<RWH -2ms,943484 943455
<RWH/ >CH/ W BT/ ->CH,943536 943535 943527
>T BT/ BN/ ->CH W >T BT/ BT/ ->CH,943536 943530 943535
ZR< ->JC,944868 944104 944137 944618 943565 944121
>T== ZKR=/,64650 64651 944239 944242 944243 944245 943577
CPXH,946242 945795 943908 943911 946235 1318603 943889 943892 943893 943894 1318453 946233 943899 64125
BT -2ms,64261 944550 944552 944553 944555 944556 944558 65592 65597 65599 65602 65109 944854 944856 944857 944858 944861 944863 944865 944866 944872 944876 943997
MYRJM,1318759 1317577 1318665 68342 1317595
XRC=/,943811
L PNH/ <WR/,943813
PNH/ DL/,943828
PNH/ GDWL/,943832
L >JC/,943895
PNH/ ZQN/,944026 944030
KL,64522 944148 944150 944152 1317625
>CH >M ->CH,944257 944252 64669
>CH#2,944321 944322 64771 944325 944326 64756 64758 944317 944314 64765
NDH,944353 944354
>JC >CH,944451 64964 64965 64966 64954 944445
C>R -HW>,944481 944485 944486 944472 944474 944476 65021 944478 944479
>LMNH GRC XLL,944522 944526 944527 65076 944605 944607
BTWLH/,65185 944602 944611
KL/ >JC/,944644 1317769 944650 944649 944652 65261 65274 65245
>T PGR/ -<M,944467 944581 946759 944759
MN >JC/ ->CH,944528
2mp_sfx,65099
ZR,944833 1317891 1317835 944878 944880 944883 1317875 944885 944949 944951 944889 944954 1317851 944893 944831
TWCB KHN FKJR,944835 944837
NPC#3,944843 944845 944846
JLJD BJT -KHN,944849 944850 944851
BN >CH,66967 66972 66980 945584 945585 945587 945588 945591 945719 945593 945595 945596 945599 67015 67018 67150 945621 945628 1318390
CLMJT,945605 945606 945607 945608 1318377 1318395
3mp,945601 67013 1318407 66986 945610 945625 945626
G>L,946016 946002 946003 946005 67607 946008 946014
QNH,946049 67650 67718 946088 946029 67638
LWJ,67781 946118 946117 67752 1318570 67789 67771 67796 1318555
BN ->X -2ms,1318595 946207 946365 1318647
BN TWCB,67971 946244 946246 67980 946255 67953 946258 946260 67957
BFR/ BN/ -<M,946264 946266 946747 946749
>XD,946310 946301 946302 946303
DWD ->X -2ms,946305 946306 1318620 1318622
>L MCPXT/ ->JC,946211 945846
MN MCPXT/ -BN TWCB,946251
RDP,946601 946854 946847
<FR= >CH,946712 946713 946717
HM,946944 68739 946948 68742 68872 68745 946829 68879 946834 68884 946841 68762 946844 68896 946849 946850 68902 68905 68907 68910 68912 68916 946871 68920 946873 68794 68923 946879 68928 946881 68802 68803 946885 68808 946890 68938 68812 68814 946903 946904 946907 68828 68833 68836 68840 68847 946933 946934 946940 946943
>B -HM,1318736 1318740
J<QB/,946912
JYXQ/,946915
>BRHM/,946918
